ID,label
2DDHQW9,-1
5HY6UEY,-1
ATNVUJX,1
Q9XYVOQ,-1
TOAHLRH,1
D6P9HYI,1
D57GZJX,-1
4DVGZU6,-1
M8TVCAH,-1
QM1GHHJ,1
8YG1Q7U,-1
SLC5JBB,-1
HZM844P,1
KCPZLHE,-1
WNCN0GR,1
KCFUKNN,1
IUPA0YA,-1
FIXGOUW,1
700V252,-1
Z2GTY7S,-1
GJU9UKC,1
567IP2S,-1
5SZQAFU,1
OGQG4K0,1
DGN5O5C,1
RLIDN7H,1
VAK9QXT,1
1GKOOSY,-1
2CLLDJY,1
8CTBY5U,-1
ABC343V,1
KG53VSQ,1
T2YTTQM,1
WJIVXWN,1
MD5V2T8,-1
OGRZKO3,-1
NFF5OOA,-1
YKAMI67,1
15ULZYK,1
9P7Y4ZS,1
4DWHFPE,-1
1C84NZH,1
LPVVANY,1
QKWJ4OA,-1
4HBECWF,-1
3CSDWMB,1
GYH065S,1
EOXCHZT,1
ACM7LKL,1
B18UN4S,-1
CYB8F0U,1
CPQMWRB,-1
XEWUQHL,-1
WDVPQGN,-1
2B4PV8F,-1
0XN9QZL,1
A7IOEF9,-1
TTBS4VF,-1
N4TVZAW,-1
3ZFTF1Z,1
AJB0ZQL,-1
E5BYTA0,1
ZD6N5EN,-1
3GXDZ77,-1
CC45ZB5,1
U68IUOP,1
HI5AELT,-1
1SLE8YF,1
P54WM39,1
3F7VCLM,1
KNOU9W9,1
VG1S7U6,-1
I8JDFVD,-1
IWDPPQM,1
8IGT0T1,-1
VXXX6RW,-1
FJFN8MR,1
E65IVN1,-1
E9DFEQP,-1
FC2BUJE,1
80UK9U9,1
NXH1XNJ,-1
NDJW70C,-1
6GOBEGW,1
7NQDSP1,1
VNDKFJY,-1
1LDECHA,-1
0QBR2HF,-1
PDU1ZY2,1
FBQU4DD,1
FLEZZVJ,-1
FUSOZZ7,-1
0WHC10B,1
94EWJKU,-1
5X8Z1Q5,-1
UOG7IFD,1
51TVP69,1
BA6R1M6,-1
4ICNGZB,1
J0119T6,1
L0ZENFZ,1
HRXM67K,1
FWEEH7P,-1
251IBDD,1
ETKPOE5,-1
RRIPUJS,-1
AKR2KY7,1
838HWJ2,-1
57ZMTEP,-1
SL4TNPS,1
JI4PB3J,1
V8GJDOP,-1
TF5234R,1
FMJMRZ7,1
70WWKLX,-1
LYE96ZO,-1
YI0QDDV,1
OX6KG35,1
B19NTV3,-1
DJRGECS,1
9X5RIUS,1
V5BN0JG,-1
RTA929E,-1
EOO1RC4,1
LMQLJ3R,1
H4FX2ET,1
IKTY62X,-1
77ZY1L9,-1
MZGTGMT,-1
A84WHQD,-1
MGHPMHC,-1
3KBUHY3,1
UJMYCWR,1
HKSYP0U,-1
VPQTQZH,1
S5QUZ7Q,1
ZYN4838,-1
UB4LKR4,-1
ARYLBAY,1
1MYMZ3Y,1
LBFOGE3,1
ZLQ1DJZ,1
3CSANBV,-1
EZNGIEW,-1
VQCQXXZ,-1
FF3XSGJ,-1
7ZBAYVZ,1
OCLJMX1,1
GB0Y94C,-1
CUM3BGY,1
JNIN9OW,-1
OZ1RI4R,-1
K4ONH27,1
50T3ETS,-1
4NMMR4U,-1
5WDFUZD,-1
05P2TJ6,-1
TX8HPWO,-1
NJ03PZH,0
4P3BP5I,-1
M3URQKR,1
9R968L0,1
V1WKKO0,-1
XVW88UF,1
2ZY2WEL,1
4BOBQBQ,1
FG9TPPC,-1
3PTUXIO,-1
WV06WRE,1
OF0O9ZQ,1
XXSHZGY,-1
NGTJAHM,-1
J3DB3OJ,-1
KD9QSPH,-1
V82EUAH,-1
